1 Platforms found
1 Devices found
Max workgroup size is 1024
0 + 4096 = 4096
1 + 4095 = 4096
2 + 4094 = 4096
3 + 4093 = 4096
4 + 4092 = 4096
5 + 4091 = 4096
6 + 4090 = 4096
7 + 4089 = 4096
8 + 4088 = 4096
9 + 4087 = 4096
10 + 4086 = 4096
11 + 4085 = 4096
12 + 4084 = 4096
13 + 4083 = 4096
14 + 4082 = 4096
15 + 4081 = 4096
16 + 4080 = 4096
17 + 4079 = 4096
18 + 4078 = 4096
19 + 4077 = 4096
20 + 4076 = 4096
21 + 4075 = 4096
22 + 4074 = 4096
23 + 4073 = 4096
24 + 4072 = 4096
25 + 4071 = 4096
26 + 4070 = 4096
27 + 4069 = 4096
28 + 4068 = 4096
29 + 4067 = 4096
30 + 4066 = 4096
31 + 4065 = 4096
32 + 4064 = 4096
33 + 4063 = 4096
34 + 4062 = 4096
35 + 4061 = 4096
36 + 4060 = 4096
37 + 4059 = 4096
38 + 4058 = 4096
39 + 4057 = 4096
40 + 4056 = 4096
41 + 4055 = 4096
42 + 4054 = 4096
43 + 4053 = 4096
44 + 4052 = 4096
45 + 4051 = 4096
46 + 4050 = 4096
47 + 4049 = 4096
48 + 4048 = 4096
49 + 4047 = 4096
50 + 4046 = 4096
51 + 4045 = 4096
52 + 4044 = 4096
53 + 4043 = 4096
54 + 4042 = 4096
55 + 4041 = 4096
56 + 4040 = 4096
57 + 4039 = 4096
58 + 4038 = 4096
59 + 4037 = 4096
60 + 4036 = 4096
61 + 4035 = 4096
62 + 4034 = 4096
63 + 4033 = 4096
64 + 4032 = 4096
65 + 4031 = 4096
66 + 4030 = 4096
67 + 4029 = 4096
68 + 4028 = 4096
69 + 4027 = 4096
70 + 4026 = 4096
71 + 4025 = 4096
72 + 4024 = 4096
73 + 4023 = 4096
74 + 4022 = 4096
75 + 4021 = 4096
76 + 4020 = 4096
77 + 4019 = 4096
78 + 4018 = 4096
79 + 4017 = 4096
80 + 4016 = 4096
81 + 4015 = 4096
82 + 4014 = 4096
83 + 4013 = 4096
84 + 4012 = 4096
85 + 4011 = 4096
86 + 4010 = 4096
87 + 4009 = 4096
88 + 4008 = 4096
89 + 4007 = 4096
90 + 4006 = 4096
91 + 4005 = 4096
92 + 4004 = 4096
93 + 4003 = 4096
94 + 4002 = 4096
95 + 4001 = 4096
96 + 4000 = 4096
97 + 3999 = 4096
98 + 3998 = 4096
99 + 3997 = 4096
100 + 3996 = 4096
101 + 3995 = 4096
102 + 3994 = 4096
103 + 3993 = 4096
104 + 3992 = 4096
105 + 3991 = 4096
106 + 3990 = 4096
107 + 3989 = 4096
108 + 3988 = 4096
109 + 3987 = 4096
110 + 3986 = 4096
111 + 3985 = 4096
112 + 3984 = 4096
113 + 3983 = 4096
114 + 3982 = 4096
115 + 3981 = 4096
116 + 3980 = 4096
117 + 3979 = 4096
118 + 3978 = 4096
119 + 3977 = 4096
120 + 3976 = 4096
121 + 3975 = 4096
122 + 3974 = 4096
123 + 3973 = 4096
124 + 3972 = 4096
125 + 3971 = 4096
126 + 3970 = 4096
127 + 3969 = 4096
128 + 3968 = 4096
129 + 3967 = 4096
130 + 3966 = 4096
131 + 3965 = 4096
132 + 3964 = 4096
133 + 3963 = 4096
134 + 3962 = 4096
135 + 3961 = 4096
136 + 3960 = 4096
137 + 3959 = 4096
138 + 3958 = 4096
139 + 3957 = 4096
140 + 3956 = 4096
141 + 3955 = 4096
142 + 3954 = 4096
143 + 3953 = 4096
144 + 3952 = 4096
145 + 3951 = 4096
146 + 3950 = 4096
147 + 3949 = 4096
148 + 3948 = 4096
149 + 3947 = 4096
150 + 3946 = 4096
151 + 3945 = 4096
152 + 3944 = 4096
153 + 3943 = 4096
154 + 3942 = 4096
155 + 3941 = 4096
156 + 3940 = 4096
157 + 3939 = 4096
158 + 3938 = 4096
159 + 3937 = 4096
160 + 3936 = 4096
161 + 3935 = 4096
162 + 3934 = 4096
163 + 3933 = 4096
164 + 3932 = 4096
165 + 3931 = 4096
166 + 3930 = 4096
167 + 3929 = 4096
168 + 3928 = 4096
169 + 3927 = 4096
170 + 3926 = 4096
171 + 3925 = 4096
172 + 3924 = 4096
173 + 3923 = 4096
174 + 3922 = 4096
175 + 3921 = 4096
176 + 3920 = 4096
177 + 3919 = 4096
178 + 3918 = 4096
179 + 3917 = 4096
180 + 3916 = 4096
181 + 3915 = 4096
182 + 3914 = 4096
183 + 3913 = 4096
184 + 3912 = 4096
185 + 3911 = 4096
186 + 3910 = 4096
187 + 3909 = 4096
188 + 3908 = 4096
189 + 3907 = 4096
190 + 3906 = 4096
191 + 3905 = 4096
192 + 3904 = 4096
193 + 3903 = 4096
194 + 3902 = 4096
195 + 3901 = 4096
196 + 3900 = 4096
197 + 3899 = 4096
198 + 3898 = 4096
199 + 3897 = 4096
200 + 3896 = 4096
